id,account_id,amount,datetime,description,payment_method,payee
24,3,700.0,"2024-09-29 13:33:38","Jump Drive Upgrade",debit,"Terminus Shipyards"
25,3,45.99,"2024-07-12 16:08:22","Mycogen Sector Fungi Supplies",debit,"Mycogen Agri-Corp"
26,3,1200.0,"2024-08-22 17:56:27","Personal Force Field Maintenance",regular,"Terminus Technologies"
27,3,80.0,"2024-09-24 02:38:36","Trantorian Postal Service",debit,"Imperial Postal Service"
28,3,350.0,"2024-09-23 06:28:21","Psychohistory Conference Fee",regular,"Second Foundation"
29,3,25.5,"2024-09-13 19:45:03","Spaceship Debris Shield Insurance",regular,"Galactic Insurers"
30,3,500.0,"2024-09-21 00:09:11","Mental Static Device",debit,"Second Foundation Tech"
31,4,300.0,"2024-07-18 18:57:48","Dinner at Star's End Diner",debit,"Star's End Diner"
32,4,50.0,"2024-09-28 12:23:36","Coffee at Terminus Cafe",debit,"Terminus Cafe"
33,4,1500.0,"2024-08-20 18:21:20","Far Star Spacecraft Lease Payment",regular,"Foundation Fleet Services"
34,4,75.25,"2024-07-30 06:02:46","Zero-G Yoga Class",debit,"Synnax Fitness Studio"
35,4,200.0,"2024-07-23 22:29:14","Galactic Dating App Subscription",regular,"Hearts Across the Stars"
36,4,450.0,"2024-09-20 00:42:13","Vault of Trantor Virtual Access",regular,"Imperial Library of Trantor"
37,4,30.5,"2024-08-21 10:17:36","Anacreon Beast Feed",debit,"Anacreon Livestock Supplies"
38,4,800.0,"2024-09-07 03:32:28","Personal Force Field Repair",debit,"Foundation Tech Services"
39,4,150.0,"2024-09-16 10:58:24","Mule's Emotional Projector Experience",debit,"Kalgan Entertainment"
40,4,100.0,"2024-07-31 19:52:02","Mycogen Yeast Culture Subscription",regular,"Mycogen Sector Imports"
41,5,600.0,"2024-09-08 02:57:02","Office Supplies from Foundation Store",debit,"Foundation Office Store"
42,5,1000.0,"2024-08-18 13:06:49","Trantor Docking Fee",regular,"Imperial Spaceport Authority"
43,5,75.5,"2024-08-04 16:30:28","Galactic Standard Translator Device",debit,"Foundation Electronics"
44,5,250.0,"2024-08-26 16:22:14","Visi-Sonor Tuning",debit,"Rossem Instruments"
45,5,350.0,"2024-09-24 03:53:18","Planetary Defense Shield Subscription",regular,"Terminus Defense Systems"
46,5,120.75,"2024-08-03 01:43:36","Seldon Crisis Forecast Update",debit,"Psychohistory Institute"
47,5,800.0,"2024-08-11 14:16:35","Artificial Gravity Generator",debit,"Foundation Physics Corp"
48,5,40.0,"2024-09-13 23:44:14","Concentrated Food Tablets",debit,"Foundation Nutrition"
49,5,500.0,"2024-07-15 03:55:28","Hyper-sleep Chamber Rental",regular,"Anacreon Travel Services"
50,5,150.0,"2024-08-23 18:15:31","Vault of Trantor Artifact Insurance",regular,"Galactic Treasures Assurance"
51,6,900.0,"2024-09-22 11:01:35","Software Subscription to Seldon Analytics",regular,"Seldon Analytics"
52,6,1200.0,"2024-09-16 01:55:56","Purchase of Holographic Equipment",debit,HoloTech
53,6,50.25,"2024-09-27 10:41:20","Atomic Coffee Subscription",regular,"Trantor Roasters"
54,6,300.0,"2024-08-16 22:39:15","Hyperspace Communication Charges",regular,GalactiComm
55,6,75.0,"2024-07-20 13:41:10","Anti-Grav Hair Styling Gel",debit,"Kalgan Cosmetics"
56,6,450.0,"2024-07-08 16:39:22","R. Daneel Olivaw Model Upgrade",debit,"Aurora Robotics"
57,6,200.0,"2024-07-31 22:59:01","Space Pirate Insurance",regular,"Galactic Risk Management"
58,6,100.0,"2024-08-14 00:38:37","Terminus Mining Royalties",regular,"Foundation Resources"
59,6,750.0,"2024-09-07 06:51:00","Jump-2 Hyperdrive System",debit,"Foundation Fleet Tech"
60,6,25.5,"2024-07-30 23:58:23","Gravitic Repulsion Yoga Mat",debit,"Synnax Fitness Gear"
61,7,150.0,"2024-07-05 04:57:25","Book Purchase from Trantor Books",debit,"Trantor Books"
62,7,500.0,"2024-09-30 10:36:55","Personal Force Field System",debit,"Terminus Security Solutions"
63,7,75.25,"2024-09-06 02:16:38","Atomic Vibro-Blade Toothbrush",debit,"Foundation Health Tech"
64,7,1000.0,"2024-09-01 08:59:49","Spacecraft Neural Interface Upgrade",debit,"Foundation Fleet Systems"
65,7,250.0,"2024-09-05 23:57:50","Holographic History Tour of Trantor",debit,"Imperial Tourism Board"
66,7,180.0,"2024-08-12 04:01:36","Psychohistory for Beginners Course",regular,"Seldon Institute"
67,7,90.5,"2024-07-12 14:27:56","Trantorian Cuisine Delivery",debit,GalactiEats
68,7,550.0,"2024-08-24 12:45:00","Personal Mentalic Shield",debit,"Second Foundation Tech"
69,7,125.75,"2024-10-02 01:53:13","Vault of Trantor Virtual Tour",debit,"Imperial Library of Trantor"
70,7,300.0,"2024-07-04 21:10:25","Foundation Encyclopedia Update",regular,"Encyclopedia Galactica"
